student_id,timestamp,frame_idx,attention_status,gaze,yaw_angle_deg,attention_score,distraction_events,yawning_count,eye_closure_duration_sec,focus_quality,session_duration_minutes
c80a027f,2025-08-01T17:46:26.079067,0,Not attentive,Right,15.48790464779067,0.0,1,0,0,,0.0
ec9e00bf,2025-08-01T17:46:32.486404,1,Not attentive,Center,45.967657426310446,0.0,1,0,0,,0.0
7952b49f,2025-08-01T17:46:32.486404,1,Not attentive,Center,28.078186455381868,0.0,1,0,0,,0.0
f1cd89c7,2025-08-01T17:46:34.852817,2,Not attentive,Right,-41.51138943027338,0.0,1,0,0,,0.0
7952b49f,2025-08-01T17:46:34.852817,2,Not attentive,Center,72.83033947045574,0.0,1,0,0,,0.04
fc8e3dfa,2025-08-01T17:46:38.289826,3,Attentive,Center,-19.754257041636695,100.0,0,0,0,,0.0
1a3a4875,2025-08-01T17:46:38.289826,3,Not attentive,Center,43.28892168682452,0.0,1,0,0,,0.0
fc8e3dfa,2025-08-01T17:46:38.701627,4,Attentive,Center,-20.520341960741973,100.0,0,0,0,,0.01
1a3a4875,2025-08-01T17:46:38.701627,4,Not attentive,Center,34.562166773223154,0.0,1,0,0,,0.01
fc8e3dfa,2025-08-01T17:46:38.999696,5,Attentive,Center,-17.543568323394837,100.0,0,0,0,,0.01
1a3a4875,2025-08-01T17:46:38.999696,5,Not attentive,Center,33.77943313692953,0.0,1,0,0,,0.01
fc8e3dfa,2025-08-01T17:46:39.281690,6,Attentive,Center,-17.22622550660301,100.0,0,0,0,,0.02
1a3a4875,2025-08-01T17:46:39.281690,6,Not attentive,Center,37.59821344866349,0.0,1,0,0,,0.02
fc8e3dfa,2025-08-01T17:46:39.340294,7,Attentive,Center,-14.369828131163443,100.0,0,0,0,,0.02
1a3a4875,2025-08-01T17:46:39.340294,7,Not attentive,Center,34.377359774113195,0.0,1,0,0,,0.02
fc8e3dfa,2025-08-01T17:46:39.416987,8,Attentive,Center,-14.735528223874468,100.0,0,0,0,,0.02
